match_date_time,garment_sku,location_id
2025-04-16 11:22:31,WOBT0O0XL,R3F63-S-DT1
2025-04-16 11:22:48,WOBT0O00S,R3F63-S-CT1
2025-04-16 11:22:44,WOBT0O00M,R3F63-S-CT2
2025-04-16 11:22:41,WOBT0O00L,R3F63-S-CT3
2025-04-16 15:14:31,WOBRRE2XL,R3C85-S-DT3
2025-04-16 15:02:31,WOBRRE0XL,R3G83-S-DT2
2025-04-16 15:14:27,WOBRRE0XL,R3C85-S-DT2
2025-04-16 15:02:42,WOBRRE00S,R3G83-S-CT2
2025-04-16 15:14:37,WOBRRE00S,R3C85-S-CT2
2025-04-16 15:02:46,WOBRRE00M,R3G83-S-CT3
2025-04-16 15:14:34,WOBRRE00M,R3C85-S-CT3
2025-04-16 15:02:35,WOBRRE00L,R3G83-S-DT1
2025-04-16 15:14:24,WOBRRE00L,R3C85-S-DT1
2025-04-16 15:14:51,WOBRQK2XL,R3C85-S-BT3
2025-04-16 15:14:48,WOBRQK0XL,R3C85-S-BT2
2025-04-16 15:14:58,WOBRQK00S,R3C85-S-AT2
2025-04-16 15:14:55,WOBRQK00M,R3C85-S-AT3
2025-04-16 15:14:44,WOBRQK00L,R3C85-S-BT1
2025-04-16 15:09:03,WOBRQC2XL,R3D83-N-BT3
2025-04-16 15:08:59,WOBRQC0XL,R3D83-N-BT2
2025-04-16 15:09:10,WOBRQC00S,R3D83-N-AT2
2025-04-16 15:09:07,WOBRQC00M,R3D83-N-AT3
2025-04-16 15:08:55,WOBRQC00L,R3D83-N-BT1
2025-04-16 15:09:53,WOBRP83XL,R3E83-N-AT3
2025-04-16 15:07:26,WOBRP82XL,R3B83-N-BT3
2025-04-16 15:07:21,WOBRP80XL,R3B83-N-BT2
2025-04-16 15:07:34,WOBRP800S,R3B83-N-AT2
2025-04-16 15:07:30,WOBRP800M,R3B83-N-AT3
2025-04-16 15:07:18,WOBRP800L,R3B83-N-BT1
2025-04-16 15:04:13,WOBRN93XL,R3E83-S-CT1
2025-04-16 15:06:20,WOBRN92XL,R3B83-S-DT3
2025-04-16 15:06:16,WOBRN90XL,R3B83-S-DT2
2025-04-16 15:06:27,WOBRN900S,R3B83-S-CT2
2025-04-16 15:06:23,WOBRN900M,R3B83-S-CT3
2025-04-16 15:06:12,WOBRN900L,R3B83-S-DT1
2025-04-16 15:03:40,WOBR9N2XL,R3F83-S-BT3
2025-04-16 15:03:37,WOBR9N0XL,R3F83-S-BT2
2025-04-16 15:03:48,WOBR9N00S,R3F83-S-AT2
2025-04-16 15:03:44,WOBR9N00M,R3F83-S-AT3
2025-04-16 15:03:33,WOBR9N00L,R3F83-S-BT1
2025-04-16 15:04:10,WOBR7P3XL,R3E83-S-CT2
2025-04-16 15:06:41,WOBR7P2XL,R3B83-S-BT3
2025-04-16 15:06:38,WOBR7P0XL,R3B83-S-BT2
2025-04-16 15:06:48,WOBR7P00S,R3B83-S-AT2
2025-04-16 15:06:45,WOBR7P00M,R3B83-S-AT3
2025-04-16 15:06:34,WOBR7P00L,R3B83-S-BT1
2025-04-16 15:03:18,WOBR5W2XL,R3F83-S-DT3
2025-04-16 15:03:15,WOBR5W0XL,R3F83-S-DT2
2025-04-16 15:03:26,WOBR5W00S,R3F83-S-CT2
2025-04-16 15:03:22,WOBR5W00M,R3F83-S-CT3
2025-04-16 15:03:11,WOBR5W00L,R3F83-S-DT1
2025-04-16 15:04:36,WOBR5R3XL,R3E83-S-AT1
2025-04-16 15:08:40,WOBR5R2XL,R3D83-N-DT3
2025-04-16 15:08:37,WOBR5R0XL,R3D83-N-DT2
2025-04-16 15:08:48,WOBR5R00S,R3D83-N-CT2
2025-04-16 15:08:44,WOBR5R00M,R3D83-N-CT3
2025-04-16 15:08:33,WOBR5R00L,R3D83-N-DT1
2025-04-16 15:04:32,WOBR5C3XL,R3E83-S-AT2
2025-04-16 15:05:09,WOBR5C2XL,R3D83-S-BT3
2025-04-16 15:05:05,WOBR5C0XL,R3D83-S-BT2
2025-04-16 15:05:16,WOBR5C00S,R3D83-S-AT2
2025-04-16 15:05:12,WOBR5C00M,R3D83-S-AT3
2025-04-16 15:05:02,WOBR5C00L,R3D83-S-BT1
2025-04-16 15:04:06,WOBR3K3XL,R3E83-S-CT3
2025-04-16 15:04:47,WOBR3K2XL,R3D83-S-DT3
2025-04-16 15:04:43,WOBR3K0XL,R3D83-S-DT2
2025-04-16 15:04:54,WOBR3K00S,R3D83-S-CT2
2025-04-16 15:04:50,WOBR3K00M,R3D83-S-CT3
2025-04-16 15:04:39,WOBR3K00L,R3D83-S-DT1
2025-04-16 15:10:32,WOBR3C2XL,R3F83-N-BT3
2025-04-16 15:10:28,WOBR3C0XL,R3F83-N-BT2
2025-04-16 15:10:39,WOBR3C00S,R3F83-N-AT2
2025-04-16 15:10:36,WOBR3C00M,R3F83-N-AT3
2025-04-16 15:10:25,WOBR3C00L,R3F83-N-BT1
2025-04-16 15:09:35,WOBR2R3XL,R3E83-N-CT2
2025-04-16 15:08:15,WOBR2R2XL,R3C83-N-BT3
2025-04-16 15:08:11,WOBR2R0XL,R3C83-N-BT2
2025-04-16 15:08:22,WOBR2R00S,R3C83-N-AT2
2025-04-16 15:08:18,WOBR2R00M,R3C83-N-AT3
2025-04-16 15:08:07,WOBR2R00L,R3C83-N-BT1
2025-04-16 15:05:55,WOBR2H2XL,R3C83-S-BT3
2025-04-16 15:05:51,WOBR2H0XL,R3C83-S-BT2
2025-04-16 15:06:02,WOBR2H00S,R3C83-S-AT2
2025-04-16 15:05:58,WOBR2H00M,R3C83-S-AT3
2025-04-16 15:05:48,WOBR2H00L,R3C83-S-BT1
2025-04-16 15:09:38,WOBR1W3XL,R3E83-N-CT1
2025-04-16 15:07:52,WOBR1W2XL,R3C83-N-DT3
2025-04-16 15:08:03,WOBR1W0XS,R3C83-N-CT1
2025-04-16 15:07:49,WOBR1W0XL,R3C83-N-DT2
2025-04-16 15:08:00,WOBR1W00S,R3C83-N-CT2
2025-04-16 15:07:56,WOBR1W00M,R3C83-N-CT3
2025-04-16 15:07:45,WOBR1W00L,R3C83-N-DT1
2025-04-16 15:02:49,WOBR1R2XL,R3G83-S-BT3
2025-04-16 15:02:53,WOBR1R0XL,R3G83-S-BT2
2025-04-16 15:03:04,WOBR1R00S,R3G83-S-AT2
2025-04-16 15:03:07,WOBR1R00M,R3G83-S-AT3
2025-04-16 15:02:56,WOBR1R00L,R3G83-S-BT1
2025-04-16 15:10:10,WOBR1P2XL,R3F83-N-DT3
2025-04-16 15:10:07,WOBR1P0XL,R3F83-N-DT2
2025-04-16 15:10:17,WOBR1P00S,R3F83-N-CT2
2025-04-16 15:10:14,WOBR1P00M,R3F83-N-CT3
2025-04-16 15:10:03,WOBR1P00L,R3F83-N-DT1
2025-04-16 15:09:56,WOBR1N3XL,R3E83-N-AT2
2025-04-16 15:07:03,WOBR1N2XL,R3B83-N-DT3
2025-04-16 15:06:59,WOBR1N0XL,R3B83-N-DT2
2025-04-16 15:07:10,WOBR1N00S,R3B83-N-CT2
2025-04-16 15:07:07,WOBR1N00M,R3B83-N-CT3
2025-04-16 15:06:56,WOBR1N00L,R3B83-N-DT1
2025-04-16 15:10:47,WOBR1K2XL,R3G83-N-DT3
2025-04-16 15:10:50,WOBR1K0XL,R3G83-N-DT2
2025-04-16 15:11:01,WOBR1K00S,R3G83-N-CT2
2025-04-16 15:11:05,WOBR1K00M,R3G83-N-CT3
2025-04-16 15:10:54,WOBR1K00L,R3G83-N-DT1
2025-04-16 15:05:34,WOBR1B2XL,R3C83-S-DT3
2025-04-16 15:05:44,WOBR1B0XS,R3C83-S-CT1
2025-04-16 15:05:30,WOBR1B0XL,R3C83-S-DT2
2025-04-16 15:05:41,WOBR1B00S,R3C83-S-CT2
2025-04-16 15:05:37,WOBR1B00M,R3C83-S-CT3
2025-04-16 15:05:27,WOBR1B00L,R3C83-S-DT1
2025-04-16 15:11:09,WOBR0R2XL,R3G83-N-BT3
2025-04-16 15:11:12,WOBR0R0XL,R3G83-N-BT2
